Epoch Number, Total Squared Error, 
0, 1.046224, 
1, 1.042580, 
2, 1.041015, 
3, 1.042683, 
4, 1.043184, 
5, 1.041426, 
6, 1.039622, 
7, 1.039061, 
8, 1.039229, 
9, 1.039483, 
10, 1.039738, 
11, 1.039984, 
12, 1.040074, 
13, 1.039957, 
14, 1.039756, 
15, 1.039615, 
16, 1.039579, 
17, 1.039617, 
18, 1.039685, 
19, 1.039746, 
20, 1.039776, 
21, 1.039770, 
22, 1.039745, 
23, 1.039719, 
24, 1.039706, 
25, 1.039709, 
26, 1.039721, 
27, 1.039735, 
28, 1.039744, 
29, 1.039747, 
30, 1.039745, 
31, 1.039742, 
32, 1.039739, 
33, 1.039740, 
34, 1.039742, 
35, 1.039745, 
36, 1.039747, 
37, 1.039749, 
38, 1.039749, 
39, 1.039748, 
40, 1.039747, 
41, 1.039747, 
42, 1.039747, 
43, 1.039746, 
44, 1.039746, 
45, 1.039745, 
46, 1.039744, 
47, 1.039742, 
48, 1.039740, 
49, 1.039738, 
50, 1.039736, 
51, 1.039733, 
52, 1.039730, 
53, 1.039727, 
54, 1.039724, 
55, 1.039720, 
56, 1.039715, 
57, 1.039711, 
58, 1.039706, 
59, 1.039700, 
60, 1.039695, 
61, 1.039688, 
62, 1.039682, 
63, 1.039675, 
64, 1.039667, 
65, 1.039659, 
66, 1.039650, 
67, 1.039641, 
68, 1.039632, 
69, 1.039622, 
70, 1.039611, 
71, 1.039600, 
72, 1.039588, 
73, 1.039575, 
74, 1.039562, 
75, 1.039548, 
76, 1.039533, 
77, 1.039518, 
78, 1.039502, 
79, 1.039485, 
80, 1.039467, 
81, 1.039448, 
82, 1.039429, 
83, 1.039408, 
84, 1.039387, 
85, 1.039365, 
86, 1.039341, 
87, 1.039317, 
88, 1.039291, 
89, 1.039264, 
90, 1.039236, 
91, 1.039207, 
92, 1.039176, 
93, 1.039144, 
94, 1.039111, 
95, 1.039076, 
96, 1.039040, 
97, 1.039002, 
98, 1.038962, 
99, 1.038921, 
100, 1.038877, 
101, 1.038832, 
102, 1.038785, 
103, 1.038736, 
104, 1.038684, 
105, 1.038631, 
106, 1.038575, 
107, 1.038516, 
108, 1.038455, 
109, 1.038392, 
110, 1.038325, 
111, 1.038256, 
112, 1.038183, 
113, 1.038107, 
114, 1.038028, 
115, 1.037945, 
116, 1.037859, 
117, 1.037769, 
118, 1.037674, 
119, 1.037575, 
120, 1.037472, 
121, 1.037364, 
122, 1.037251, 
123, 1.037133, 
124, 1.037010, 
