Epoch Number, Total Squared Error, 
0, 1.082333, 
1, 1.072348, 
2, 1.064708, 
3, 1.058922, 
4, 1.054577, 
5, 1.051334, 
6, 1.048927, 
7, 1.047147, 
8, 1.045835, 
9, 1.044871, 
10, 1.044165, 
11, 1.043648, 
12, 1.043271, 
13, 1.042996, 
14, 1.042796, 
15, 1.042652, 
16, 1.042547, 
17, 1.042471, 
18, 1.042417, 
19, 1.042378, 
20, 1.042351, 
21, 1.042331, 
22, 1.042318, 
23, 1.042308, 
24, 1.042301, 
25, 1.042297, 
26, 1.042294, 
27, 1.042292, 
28, 1.042291, 
29, 1.042290, 
30, 1.042290, 
31, 1.042289, 
32, 1.042289, 
33, 1.042289, 
34, 1.042289, 
35, 1.042290, 
36, 1.042290, 
37, 1.042290, 
38, 1.042290, 
39, 1.042290, 
40, 1.042290, 
41, 1.042290, 
42, 1.042290, 
43, 1.042290, 
44, 1.042290, 
45, 1.042290, 
46, 1.042290, 
47, 1.042290, 
48, 1.042290, 
49, 1.042290, 
50, 1.042290, 
51, 1.042290, 
52, 1.042290, 
53, 1.042290, 
54, 1.042290, 
55, 1.042290, 
56, 1.042290, 
57, 1.042290, 
58, 1.042290, 
59, 1.042290, 
60, 1.042291, 
61, 1.042291, 
62, 1.042291, 
63, 1.042291, 
64, 1.042291, 
65, 1.042291, 
66, 1.042291, 
67, 1.042291, 
68, 1.042292, 
69, 1.042292, 
70, 1.042292, 
71, 1.042292, 
72, 1.042292, 
73, 1.042293, 
74, 1.042293, 
75, 1.042293, 
76, 1.042293, 
77, 1.042294, 
78, 1.042294, 
79, 1.042294, 
80, 1.042295, 
81, 1.042295, 
82, 1.042295, 
83, 1.042296, 
84, 1.042296, 
85, 1.042296, 
86, 1.042297, 
87, 1.042297, 
88, 1.042297, 
89, 1.042298, 
90, 1.042298, 
91, 1.042299, 
92, 1.042299, 
93, 1.042300, 
94, 1.042300, 
95, 1.042301, 
96, 1.042301, 
97, 1.042302, 
98, 1.042302, 
99, 1.042303, 
100, 1.042303, 
101, 1.042304, 
102, 1.042304, 
103, 1.042305, 
104, 1.042305, 
105, 1.042306, 
106, 1.042307, 
107, 1.042307, 
108, 1.042308, 
109, 1.042308, 
110, 1.042309, 
111, 1.042310, 
112, 1.042310, 
113, 1.042311, 
114, 1.042312, 
115, 1.042312, 
116, 1.042313, 
117, 1.042314, 
118, 1.042315, 
119, 1.042315, 
120, 1.042316, 
121, 1.042317, 
122, 1.042317, 
123, 1.042318, 
124, 1.042319, 
125, 1.042320, 
126, 1.042321, 
127, 1.042321, 
128, 1.042322, 
129, 1.042323, 
130, 1.042324, 
131, 1.042325, 
132, 1.042326, 
133, 1.042326, 
134, 1.042327, 
135, 1.042328, 
136, 1.042329, 
137, 1.042330, 
138, 1.042331, 
139, 1.042332, 
140, 1.042333, 
141, 1.042334, 
142, 1.042335, 
143, 1.042336, 
144, 1.042337, 
145, 1.042338, 
146, 1.042339, 
147, 1.042340, 
148, 1.042341, 
149, 1.042342, 
150, 1.042343, 
151, 1.042344, 
152, 1.042345, 
153, 1.042346, 
154, 1.042347, 
155, 1.042348, 
156, 1.042349, 
157, 1.042350, 
158, 1.042351, 
159, 1.042352, 
160, 1.042353, 
161, 1.042354, 
162, 1.042356, 
163, 1.042357, 
164, 1.042358, 
165, 1.042359, 
166, 1.042360, 
167, 1.042361, 
168, 1.042363, 
169, 1.042364, 
170, 1.042365, 
171, 1.042366, 
172, 1.042367, 
173, 1.042369, 
174, 1.042370, 
175, 1.042371, 
176, 1.042372, 
177, 1.042373, 
178, 1.042375, 
179, 1.042376, 
180, 1.042377, 
181, 1.042379, 
182, 1.042380, 
183, 1.042381, 
184, 1.042382, 
185, 1.042384, 
186, 1.042385, 
187, 1.042386, 
188, 1.042388, 
189, 1.042389, 
190, 1.042391, 
191, 1.042392, 
192, 1.042393, 
193, 1.042395, 
194, 1.042396, 
195, 1.042397, 
196, 1.042399, 
197, 1.042400, 
198, 1.042402, 
199, 1.042403, 
200, 1.042405, 
201, 1.042406, 
202, 1.042407, 
203, 1.042409, 
204, 1.042410, 
205, 1.042412, 
206, 1.042413, 
207, 1.042415, 
208, 1.042416, 
209, 1.042418, 
210, 1.042419, 
211, 1.042421, 
212, 1.042422, 
213, 1.042424, 
214, 1.042425, 
215, 1.042427, 
216, 1.042428, 
217, 1.042430, 
218, 1.042432, 
219, 1.042433, 
220, 1.042435, 
221, 1.042436, 
222, 1.042438, 
223, 1.042440, 
224, 1.042441, 
225, 1.042443, 
226, 1.042444, 
227, 1.042446, 
228, 1.042448, 
229, 1.042449, 
230, 1.042451, 
231, 1.042453, 
232, 1.042454, 
233, 1.042456, 
234, 1.042458, 
235, 1.042459, 
236, 1.042461, 
237, 1.042463, 
238, 1.042464, 
239, 1.042466, 
240, 1.042468, 
241, 1.042470, 
242, 1.042471, 
243, 1.042473, 
244, 1.042475, 
245, 1.042477, 
246, 1.042478, 
247, 1.042480, 
248, 1.042482, 
249, 1.042484, 
250, 1.042485, 
251, 1.042487, 
252, 1.042489, 
253, 1.042491, 
254, 1.042493, 
255, 1.042495, 
256, 1.042496, 
257, 1.042498, 
258, 1.042500, 
259, 1.042502, 
260, 1.042504, 
261, 1.042506, 
262, 1.042507, 
263, 1.042509, 
264, 1.042511, 
265, 1.042513, 
266, 1.042515, 
267, 1.042517, 
268, 1.042519, 
269, 1.042521, 
270, 1.042523, 
271, 1.042524, 
272, 1.042526, 
273, 1.042528, 
274, 1.042530, 
275, 1.042532, 
276, 1.042534, 
277, 1.042536, 
278, 1.042538, 
279, 1.042540, 
280, 1.042542, 
281, 1.042544, 
282, 1.042546, 
283, 1.042548, 
284, 1.042550, 
285, 1.042552, 
286, 1.042554, 
287, 1.042556, 
288, 1.042558, 
289, 1.042560, 
290, 1.042562, 
291, 1.042564, 
292, 1.042566, 
293, 1.042568, 
294, 1.042570, 
295, 1.042572, 
296, 1.042574, 
297, 1.042577, 
298, 1.042579, 
299, 1.042581, 
300, 1.042583, 
301, 1.042585, 
302, 1.042587, 
303, 1.042589, 
304, 1.042591, 
305, 1.042593, 
306, 1.042595, 
307, 1.042598, 
308, 1.042600, 
309, 1.042602, 
310, 1.042604, 
311, 1.042606, 
312, 1.042608, 
313, 1.042610, 
314, 1.042613, 
315, 1.042615, 
316, 1.042617, 
317, 1.042619, 
318, 1.042621, 
319, 1.042624, 
320, 1.042626, 
321, 1.042628, 
322, 1.042630, 
323, 1.042632, 
324, 1.042635, 
325, 1.042637, 
326, 1.042639, 
327, 1.042641, 
328, 1.042644, 
329, 1.042646, 
330, 1.042648, 
331, 1.042650, 
332, 1.042653, 
333, 1.042655, 
334, 1.042657, 
335, 1.042659, 
336, 1.042662, 
337, 1.042664, 
338, 1.042666, 
339, 1.042669, 
340, 1.042671, 
341, 1.042673, 
342, 1.042676, 
343, 1.042678, 
344, 1.042680, 
345, 1.042682, 
346, 1.042685, 
347, 1.042687, 
348, 1.042690, 
349, 1.042692, 
350, 1.042694, 
351, 1.042697, 
352, 1.042699, 
353, 1.042701, 
354, 1.042704, 
355, 1.042706, 
356, 1.042708, 
357, 1.042711, 
358, 1.042713, 
359, 1.042716, 
360, 1.042718, 
361, 1.042720, 
362, 1.042723, 
363, 1.042725, 
364, 1.042728, 
365, 1.042730, 
366, 1.042733, 
367, 1.042735, 
368, 1.042737, 
369, 1.042740, 
370, 1.042742, 
371, 1.042745, 
372, 1.042747, 
373, 1.042750, 
374, 1.042752, 
375, 1.042755, 
376, 1.042757, 
377, 1.042760, 
378, 1.042762, 
379, 1.042765, 
380, 1.042767, 
381, 1.042770, 
382, 1.042772, 
383, 1.042775, 
384, 1.042777, 
385, 1.042780, 
386, 1.042782, 
387, 1.042785, 
388, 1.042787, 
389, 1.042790, 
390, 1.042792, 
391, 1.042795, 
392, 1.042797, 
393, 1.042800, 
394, 1.042803, 
395, 1.042805, 
396, 1.042808, 
397, 1.042810, 
398, 1.042813, 
399, 1.042815, 
400, 1.042818, 
401, 1.042821, 
402, 1.042823, 
403, 1.042826, 
404, 1.042828, 
405, 1.042831, 
406, 1.042834, 
407, 1.042836, 
408, 1.042839, 
409, 1.042842, 
410, 1.042844, 
411, 1.042847, 
412, 1.042849, 
413, 1.042852, 
414, 1.042855, 
415, 1.042857, 
416, 1.042860, 
417, 1.042863, 
418, 1.042865, 
419, 1.042868, 
420, 1.042871, 
421, 1.042873, 
422, 1.042876, 
423, 1.042879, 
424, 1.042881, 
425, 1.042884, 
426, 1.042887, 
427, 1.042889, 
428, 1.042892, 
429, 1.042895, 
430, 1.042898, 
431, 1.042900, 
432, 1.042903, 
433, 1.042906, 
434, 1.042909, 
435, 1.042911, 
436, 1.042914, 
437, 1.042917, 
438, 1.042919, 
439, 1.042922, 
440, 1.042925, 
441, 1.042928, 
442, 1.042930, 
443, 1.042933, 
444, 1.042936, 
445, 1.042939, 
446, 1.042942, 
447, 1.042944, 
448, 1.042947, 
449, 1.042950, 
450, 1.042953, 
451, 1.042956, 
452, 1.042958, 
453, 1.042961, 
454, 1.042964, 
455, 1.042967, 
456, 1.042970, 
457, 1.042972, 
458, 1.042975, 
459, 1.042978, 
460, 1.042981, 
461, 1.042984, 
462, 1.042987, 
463, 1.042989, 
464, 1.042992, 
465, 1.042995, 
466, 1.042998, 
467, 1.043001, 
468, 1.043004, 
469, 1.043006, 
470, 1.043009, 
471, 1.043012, 
