Epoch Number, Total Squared Error, 
0, 5.260272, 
1, 4.634904, 
2, 4.685956, 
3, 4.615346, 
4, 4.669697, 
5, 4.679252, 
6, 4.545806, 
7, 4.531206, 
8, 4.557218, 
9, 4.595368, 
10, 4.598480, 
11, 4.565478, 
12, 4.556847, 
13, 4.570717, 
14, 4.587477, 
15, 4.589186, 
16, 4.579472, 
17, 4.575015, 
18, 4.575230, 
19, 4.567111, 
20, 4.535679, 
21, 4.466978, 
22, 4.335107, 
23, 4.084073, 
24, 3.624324, 
25, 2.870537, 
26, 1.896107, 
27, 1.037103, 
28, 0.519200, 
29, 0.267110, 
30, 0.151842, 
31, 0.097218, 
32, 0.069200, 
33, 0.053546, 
34, 0.044098, 
