Epoch Number, Total Squared Error, 
0, 4.631748, 
1, 4.605995, 
2, 4.596184, 
3, 4.593026, 
4, 4.592555, 
5, 4.593160, 
6, 4.594209, 
7, 4.595465, 
8, 4.596844, 
9, 4.598316, 
10, 4.599871, 
11, 4.601503, 
12, 4.603207, 
13, 4.604977, 
14, 4.606808, 
15, 4.608694, 
16, 4.610628, 
17, 4.612604, 
18, 4.614617, 
19, 4.616660, 
20, 4.618728, 
21, 4.620816, 
22, 4.622919, 
23, 4.625033, 
24, 4.627153, 
25, 4.629274, 
26, 4.631393, 
27, 4.633505, 
28, 4.635606, 
29, 4.637692, 
30, 4.639759, 
31, 4.641803, 
32, 4.643820, 
33, 4.645805, 
34, 4.647754, 
35, 4.649662, 
36, 4.651525, 
37, 4.653337, 
38, 4.655093, 
39, 4.656787, 
40, 4.658413, 
41, 4.659966, 
42, 4.661436, 
43, 4.662818, 
44, 4.664102, 
45, 4.665280, 
46, 4.666342, 
47, 4.667277, 
48, 4.668073, 
49, 4.668717, 
50, 4.669194, 
51, 4.669489, 
52, 4.669582, 
53, 4.669456, 
54, 4.669086, 
55, 4.668448, 
56, 4.667514, 
57, 4.666251, 
58, 4.664626, 
59, 4.662596, 
60, 4.660118, 
61, 4.657138, 
62, 4.653599, 
63, 4.649435, 
64, 4.644570, 
65, 4.638919, 
66, 4.632387, 
67, 4.624863, 
68, 4.616224, 
69, 4.606332, 
70, 4.595030, 
71, 4.582144, 
72, 4.567480, 
73, 4.550822, 
74, 4.531937, 
75, 4.510568, 
76, 4.486439, 
77, 4.459256, 
78, 4.428707, 
79, 4.394466, 
80, 4.356194, 
81, 4.313542, 
82, 4.266155, 
83, 4.213669, 
84, 4.155718, 
85, 4.091931, 
86, 4.021935, 
87, 3.945355, 
88, 3.861814, 
89, 3.770937, 
90, 3.672363, 
91, 3.565774, 
92, 3.450938, 
93, 3.327792, 
94, 3.196535, 
95, 3.057745, 
96, 2.912463, 
97, 2.762219, 
98, 2.608961, 
99, 2.454895, 
100, 2.302264, 
101, 2.153144, 
102, 2.009290, 
103, 1.872059, 
104, 1.742398, 
105, 1.620882, 
106, 1.507765, 
107, 1.403043, 
108, 1.306514, 
109, 1.217835, 
110, 1.136566, 
111, 1.062210, 
112, 0.994246, 
113, 0.932148, 
114, 0.875403, 
115, 0.823525, 
116, 0.776058, 
117, 0.732579, 
118, 0.692703, 
119, 0.656080, 
120, 0.622392, 
121, 0.591356, 
122, 0.562714, 
123, 0.536239, 
124, 0.511725, 
125, 0.488989, 
126, 0.467866, 
127, 0.448210, 
128, 0.429890, 
129, 0.412788, 
130, 0.396798, 
131, 0.381826, 
132, 0.367787, 
133, 0.354604, 
134, 0.342207, 
135, 0.330534, 
136, 0.319529, 
137, 0.309141, 
138, 0.299323, 
139, 0.290034, 
140, 0.281234, 
141, 0.272888, 
142, 0.264966, 
143, 0.257438, 
144, 0.250277, 
145, 0.243459, 
146, 0.236961, 
147, 0.230763, 
148, 0.224845, 
149, 0.219191, 
150, 0.213784, 
151, 0.208610, 
152, 0.203654, 
153, 0.198904, 
154, 0.194348, 
155, 0.189975, 
156, 0.185774, 
157, 0.181738, 
158, 0.177855, 
159, 0.174119, 
160, 0.170522, 
161, 0.167056, 
162, 0.163714, 
163, 0.160492, 
164, 0.157382, 
165, 0.154379, 
166, 0.151478, 
167, 0.148674, 
168, 0.145962, 
169, 0.143339, 
170, 0.140800, 
171, 0.138342, 
172, 0.135960, 
173, 0.133652, 
174, 0.131414, 
175, 0.129244, 
176, 0.127138, 
177, 0.125093, 
178, 0.123108, 
179, 0.121180, 
180, 0.119306, 
181, 0.117484, 
182, 0.115712, 
183, 0.113989, 
184, 0.112312, 
185, 0.110680, 
186, 0.109091, 
187, 0.107543, 
188, 0.106034, 
189, 0.104565, 
190, 0.103132, 
191, 0.101735, 
192, 0.100372, 
193, 0.099043, 
194, 0.097745, 
195, 0.096479, 
196, 0.095242, 
197, 0.094034, 
198, 0.092854, 
199, 0.091702, 
200, 0.090575, 
201, 0.089474, 
202, 0.088397, 
203, 0.087343, 
204, 0.086313, 
205, 0.085305, 
206, 0.084319, 
207, 0.083353, 
208, 0.082408, 
209, 0.081482, 
210, 0.080576, 
211, 0.079688, 
212, 0.078817, 
213, 0.077965, 
214, 0.077129, 
215, 0.076310, 
216, 0.075507, 
217, 0.074719, 
218, 0.073947, 
219, 0.073189, 
220, 0.072445, 
221, 0.071716, 
222, 0.070999, 
223, 0.070297, 
224, 0.069607, 
225, 0.068929, 
226, 0.068264, 
227, 0.067610, 
228, 0.066968, 
229, 0.066337, 
230, 0.065718, 
231, 0.065109, 
232, 0.064510, 
233, 0.063922, 
234, 0.063343, 
235, 0.062774, 
236, 0.062215, 
237, 0.061665, 
238, 0.061124, 
239, 0.060592, 
240, 0.060068, 
241, 0.059553, 
242, 0.059046, 
243, 0.058546, 
244, 0.058055, 
245, 0.057572, 
246, 0.057095, 
247, 0.056627, 
248, 0.056165, 
249, 0.055710, 
250, 0.055263, 
251, 0.054821, 
252, 0.054387, 
253, 0.053959, 
254, 0.053537, 
255, 0.053121, 
256, 0.052711, 
257, 0.052307, 
258, 0.051909, 
259, 0.051517, 
260, 0.051130, 
261, 0.050748, 
262, 0.050372, 
263, 0.050001, 
264, 0.049635, 
